"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 11:10:59 CST 2022","Fri Nov 25 11:10:59 CST 2022","137","","test_api_all","","","","修改身份为空，修改失败","请求方法是 PUT，请求url是 /api/customer/users/${userId0},请求头是 {""content-type"":""application/json"",""Authorization"":""bearer ${access_token}""}"
"passed","Fri Nov 25 11:10:32 CST 2022","Fri Nov 25 11:10:32 CST 2022","136","","test_api_all","","","","翻页查询成功","请求方法是 GET，请求url是 /api/meetings?page=2&size=10,请求头是 {""content-type"":""application/x-www-form-urlencoded"",""Authorization"":""bearer ${access_token}""}"
"passed","Fri Nov 25 11:10:17 CST 2022","Fri Nov 25 11:10:18 CST 2022","188","","test_api_all","","","","删除client，删除成功","请求方法是 DELETE，请求url是 /api/developer/clients,请求头是 {""content-type"":""application/json"",""Authorization"":""bearer ${access_token}""}"
"passed","Fri Nov 25 11:10:58 CST 2022","Fri Nov 25 11:10:58 CST 2022","144","","test_api_all","","","","密码小于6位，修改失败","请求方法是 PUT，请求url是 /api/customer/users/${userId0},请求头是 {""content-type"":""application/json"",""Authorization"":""bearer ${access_token}""}"
"passed","Fri Nov 25 11:10:37 CST 2022","Fri Nov 25 11:10:37 CST 2022","185","","test_api_all","","","","查询会议授权信息，查询成功","请求方法是 GET，请求url是 /api/meetings/335237/authorizations?id=335237&userRight=&page=1&size=10,请求头是 {""content-type"":""application/x-www-form-urlencoded"",""Authorization"":""bearer ${access_token}""}"
"skipped","Fri Nov 25 11:10:47 CST 2022","Fri Nov 25 11:10:47 CST 2022","1","","test_api_all","","","","终端序列号未激活，终端续费4K产品生效成功","请求方法是 POST，请求url是 /api/v1/terminal/product/effect,请求头是 {""content-type"":""application/json"",""Authorization"":""bearer ${access_token}""}"
"passed","Fri Nov 25 11:10:17 CST 2022","Fri Nov 25 11:10:17 CST 2022","133","","test_api_all","","","","修改client停用，修改成功","请求方法是 PUT，请求url是 /api/developer/clients/${clientid},请求头是 {""content-type"":""application/json"",""Authorization"":""bearer ${access_token}""}"
"passed","Fri Nov 25 11:12:20 CST 2022","Fri Nov 25 11:12:21 CST 2022","843","","test_api_all","","","","测试1","数据库连接信息：ssh_address None，host None"
"passed","Fri Nov 25 11:11:02 CST 2022","Fri Nov 25 11:11:02 CST 2022","199","","test_api_all","","","","删除用户，删除成功","请求方法是 DELETE，请求url是 /api/customer/users,请求头是 {""content-type"":""application/json"",""Authorization"":""bearer ${access_token}""}"
"passed","Fri Nov 25 11:10:19 CST 2022","Fri Nov 25 11:10:19 CST 2022","133","","test_api_all","","","","个人资料展示正确","请求方法是 GET，请求url是 /api/v1/users/profile,请求头是 {""content-type"":""application/x-www-form-urlencoded"",""Authorization"":""bearer ${access_token}""}"
